model,h,H0,Omega_m,Omega_b,Omega_d,logA,A_s,sigma8,S8,rd,geo_xi,mu_eff,Omega_growth,chi_total,chi_fs8,chi_S8,chi_rd,chi_ombh2,chi_ommh2,chi_As,AIC,BIC
LCDM,0.670083936647522,67.00839366475219,0.31492957590620485,0.05,0.26492957590620486,3.032176285673847,2.074232472905366e-09,0.8119022375690049,0.8318592211386152,147.30126036603437,1.0,1.0,0.31492957590620485,21.059164073524965,16.051303708471487,2.954085288722096,0.45006372151434315,0.25628002755627916,0.6341648963093479,0.7132664309514107,27.059164073524965,30.83345368758941
GEO_CLASS,0.6693156004359445,66.93156004359444,0.31799789154466046,0.05,0.26799789154466047,3.044093669600349,2.0990997799481674e-09,0.757803915996969,0.7802042973180384,147.06638845370514,0.7420643869843139,0.7826205698826935,0.2488716911021771,11.543903132682663,11.440997975953694,0.016734784320440097,0.012552622714787059,6.911439091598126e-05,0.07350387002716526,4.476527566098915e-05,19.543903132682665,24.576289284768592
